,activity_participation,cohort,institution_id,label,label_extended,release_year,source_id,license_info.exceptions_contact,license_info.history,license_info.id,license_info.license,license_info.source_specific_info,license_info.url,model_component.aerosol.description,model_component.aerosol.native_nominal_resolution,model_component.atmos.description,model_component.atmos.native_nominal_resolution,model_component.atmosChem.description,model_component.atmosChem.native_nominal_resolution,model_component.land.description,model_component.land.native_nominal_resolution,model_component.landIce.description,model_component.landIce.native_nominal_resolution,model_component.ocean.description,model_component.ocean.native_nominal_resolution,model_component.ocnBgchem.description,model_component.ocnBgchem.native_nominal_resolution,model_component.seaIce.description,model_component.seaIce.native_nominal_resolution,model_component.seaIce.native_ominal_resolution
84,['HighResMIP'],['Published'],['AS-RCEC'],HiRAM-SIT-LR,HiRAM Coupling 1-D SIT (50 km atmosphere and 25 km ocean),2018,HiRAM-SIT-LR,@gate.sinica.edu.tw <- cytu,2020-12-29: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,GFDL-HiRAM (Cubed-sphere (c192) - 0.5 degree nominal horizontal resolution; 768 x 384 longitude/latitude; 32 levels; top level 1 hPa),50 km,none,none,GFDL-LM3 (same grid as atmos),50 km,none,none,"SIT (1-D, tripolar - nominal 0.25 deg; 1440 x 1080 longitude/latitude; 50 levels with skin layer and 1 m resolution for uppermost 10 m)",25 km,none,none,none,none,
85,"['CMIP', 'OMIP', 'SIMIP']",['Published'],['MPI-M'],ICON-ESM-LR,ICON-ESM-LR,2017,ICON-ESM-LR,@dkrz.de <- cmip6-mpi-esm,2021-02-15: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"none, prescribed MACv2-SP",250 km,ICON-A (icosahedral/triangles; 160 km; 47 levels; top level 80 km),250 km,none,none,JSBACH4.20,250 km,none/prescribed,none,ICON-O (icosahedral/triangles; 40 km; 40 levels; top grid cell 0-12 m),50 km,HAMOCC,50 km,unnamed (thermodynamic (Semtner zero-layer) dynamic (Hibler 79) sea ice model),50 km,
86,"['CMIP', 'GMMIP', 'ScenarioMIP']",['Published'],['CCCR-IITM'],IITM-ESM,IITM-ESM,2015,IITM-ESM,@tropmet.res.in <- iitm-esm,2019-07-19: initially published under CC BY-SA 4.0; 2022-09-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,prescribed MAC-v2,250 km,"IITM-GFSv1 (T62L64, Linearly Reduced Gaussian Grid; 192 x 94 longitude/latitude; 64 levels; top level 0.2 mb)",250 km,none,none,NOAH LSMv2.7.1,250 km,none,none,"MOM4p1 (tripolar, primarily 1deg; 360 x 200 longitude/latitude; 50 levels; top grid cell 0-10 m)",100 km,TOPAZv2.0,100 km,SISv1.0,100 km,
87,"['CMIP', 'PMIP', 'ScenarioMIP']",['Published'],['INM'],INM-CM4-8,INM-CM4-8,2016,INM-CM4-8,@gmail.com <- volodinev,2019-05-28: initially published under CC BY-SA 4.0; 2022-09-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,INM-AER1,100 km,INM-AM4-8 (2x1.5; 180 x 120 longitude/latitude; 21 levels; top level sigma = 0.01),100 km,none,none,INM-LND1,100 km,none,none,"INM-OM5 (North Pole shifted to 60N, 90E; 360 x 318 longitude/latitude; 40 levels; sigma vertical coordinate)",100 km,none,none,INM-ICE1,100 km,
88,"['CMIP', 'ScenarioMIP']",['Published'],['INM'],INM-CM5-0,INM-CM5-0,2016,INM-CM5-0,@gmail.com <- volodinev,2019-06-10: initially published under CC BY-SA 4.0; 2022-09-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,INM-AER1,100 km,INM-AM5-0 (2x1.5; 180 x 120 longitude/latitude; 73 levels; top level sigma = 0.0002),100 km,none,none,INM-LND1,100 km,none,none,"INM-OM5 (North Pole shifted to 60N, 90E. 0.5x0.25; 720 x 720 longitude/latitude; 40 levels; vertical sigma coordinate)",50 km,none,none,INM-ICE1,50 km,
89,"['CMIP', 'HighResMIP']",['Published'],['INM'],INM-CM5-H,INM-CM5-H,2016,INM-CM5-H,@gmail.com <- volodinev,2019-08-12: initially published under CC BY-SA 4.0; 2022-09-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,INM-AER1,50 km,INM-AM5-H (0.67x0.5; 540 x 360 longitude/latitude; 73 levels; top level sigma = 0.0002),50 km,none,none,INM-LND1,50 km,none,none,"INM-OM5-H (North Pole shifted to 60N, 90E. 0.167x0.125; 2160x1440 longitude/latitude; 40 levels; vertical sigma coordinate)",10 km,none,none,INM-ICE1,10 km,
90,"['AerChemMIP', 'LUMIP', 'ScenarioMIP']",['Published'],['IPSL'],IPSL-CM5A2-INCA,IPSL-CM5A2-INCA,2019,IPSL-CM5A2-INCA,@listes.ipsl.fr <- ipsl-cmip6,2020-07-29: initially published under CC BY-NC-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,INCA v6 NMHC-AER-S,500 km,LMDZ (APv5; 96 x 96 longitude/latitude; 39 levels; top level 80000 m),500 km,INCA v6 NMHC-AER-S,500 km,"ORCHIDEE (IPSLCM5A2.1, Water/Carbon/Energy mode)",500 km,none,none,"NEMO-OPA (v3.6, ORCA2 tripolar primarily 2deg; 182 x 149 longitude/latitude; 31 levels; top grid cell 0-10 m)",250 km,NEMO-PISCES,250 km,NEMO-LIM2,250 km,
91,['HighResMIP'],['Published'],['IPSL'],IPSL-CM6A-ATM-HR,IPSL-CM6A-ATM-HR,2018,IPSL-CM6A-ATM-HR,@listes.ipsl.fr <- ipsl-cmip6,2019-01-22: initially published under CC BY-NC-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"LMDZ (NPv6, N256; 512 x 360 longitude/latitude; 79 levels; top level 80000 m)",50 km,none,none,"ORCHIDEE (v2.0, Water/Carbon/Energy mode)",50 km,none,none,none,none,none,none,none,none,
92,['HighResMIP'],['Published'],['IPSL'],IPSL-CM6A-ATM-ICO-HR,IPSL-CM6A-ATM-ICO-HR,2021,IPSL-CM6A-ATM-ICO-HR,@listes.ipsl.fr <- ipsl-cmip6,2022-07-21: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,DYNAMICO-LMDZ (NPv6; 256000-point icosahedral-hexagonal; 79 levels; top level 80000 m),50 km,none,none,"ORCHIDEE (v2.2, Water/Carbon/Energy mode)",50 km,none,none,none,none,none,none,none,,none
93,['HighResMIP'],['Published'],['IPSL'],IPSL-CM6A-ATM-ICO-LR,IPSL-CM6A-ATM-ICO-LR,2021,IPSL-CM6A-ATM-ICO-LR,@listes.ipsl.fr <- ipsl-cmip6,2022-07-21: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,DYNAMICO-LMDZ (NPv6; 16000-point icosahedral-hexagonal; 79 levels; top level 80000 m),250 km,none,none,"ORCHIDEE (v2.2, Water/Carbon/Energy mode)",250 km,none,none,none,none,none,none,none,,none
94,['HighResMIP'],['Published'],['IPSL'],IPSL-CM6A-ATM-ICO-MR,IPSL-CM6A-ATM-ICO-MR,2021,IPSL-CM6A-ATM-ICO-MR,@listes.ipsl.fr <- ipsl-cmip6,2022-07-20: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,DYNAMICO-LMDZ (NPv6; 64000-point icosahedral-hexagonal; 79 levels; top level 80000 m),100 km,none,none,"ORCHIDEE (v2.2, Water/Carbon/Energy mode)",100 km,none,none,none,none,none,none,none,,none
95,['HighResMIP'],['Published'],['IPSL'],IPSL-CM6A-ATM-ICO-VHR,IPSL-CM6A-ATM-ICO-VHR,2021,IPSL-CM6A-ATM-ICO-VHR,@listes.ipsl.fr <- ipsl-cmip6,2022-07-21: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,DYNAMICO-LMDZ (NPv6; 1024000-point icosahedral-hexagonal; 79 levels; top level 80000 m),25 km,none,none,"ORCHIDEE (v2.2, Water/Carbon/Energy mode)",25 km,none,none,none,none,none,none,none,,none
96,['AerChemMIP'],['Registered'],['IPSL'],IPSL-CM6A-ATM-LR-REPROBUS,IPSL-CM6A-ATM-LR-REPROBUS,2021,IPSL-CM6A-ATM-LR-REPROBUS,@listes.ipsl.fr <- ipsl-cmip6,,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,LMDZ (NPv6 ; 144 x 143 longitude/latitude; 79 levels; top level 80000 m),250 km,LMDZ (NPv6 ; 144 x 143 longitude/latitude; 79 levels; top level 80000 m),250 km,REPROBUS v6 (same grid as atmos),250 km,none,none,none,none,none,none,none,none,none,none,
97,"['C4MIP', 'CDRMIP', 'CFMIP', 'CMIP', 'DAMIP', 'DCPP', 'FAFMIP', 'GMMIP', 'GeoMIP', 'HighResMIP', 'LS3MIP', 'LUMIP', 'OMIP', 'PAMIP', 'PMIP', 'RFMIP', 'ScenarioMIP', 'VolMIP']",['Published'],['IPSL'],IPSL-CM6A-LR,IPSL-CM6A-LR,2017,IPSL-CM6A-LR,@listes.ipsl.fr <- ipsl-cmip6,2018-03-14: initially published under CC BY-NC-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"LMDZ (NPv6, N96; 144 x 143 longitude/latitude; 79 levels; top level 80000 m)",250 km,none,none,"ORCHIDEE (v2.0, Water/Carbon/Energy mode)",250 km,none,none,"NEMO-OPA (eORCA1.3, tripolar primarily 1deg; 362 x 332 longitude/latitude; 75 levels; top grid cell 0-2 m)",100 km,NEMO-PISCES,100 km,NEMO-LIM3,100 km,
98,"['AerChemMIP', 'RFMIP']",['Published'],['IPSL'],IPSL-CM6A-LR-INCA,IPSL-CM6A-LR-INCA,2019,IPSL-CM6A-LR-INCA,@listes.ipsl.fr <- ipsl-cmip6,2020-07-17: initially published under CC BY-NC-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,INCA v6 AER,250 km,LMDZ (NPv6 ; 144 x 143 longitude/latitude; 79 levels; top level 80000 m),250 km,none,none,"ORCHIDEE (v2.0, Water/Carbon/Energy mode)",250 km,none,none,"NEMO-OPA (eORCA1.3, tripolar primarily 1deg; 362 x 332 longitude/latitude; 75 levels; top grid cell 0-2 m)",100 km,NEMO-PISCES,100 km,NEMO-LIM3,100 km,
99,['CMIP'],['Published'],['IPSL'],IPSL-CM6A-MR1,IPSL-CM6A-MR1,2021,IPSL-CM6A-MR1,@listes.ipsl.fr <- ipsl-cmip6,2024-03-26: initially published under CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,LMDZ (NPv6; 256 x 256 longitude/latitude; 79 levels; top level 80000 m),100 km,none,none,"ORCHIDEE (v2.2, Water/Carbon/Energy mode; same grid as atmos)",100 km,none,none,"NEMO-OPA (eORCA1.3, tripolar primarily 1deg; 362 x 332 longitude/latitude; 75 levels; top grid cell 0-2 m)",100 km,NEMO-PISCES (same grid as ocean),100 km,NEMO-LIM3 (same grid as ocean),100 km,
100,"['CMIP', 'ScenarioMIP']",['Published'],['NIMS-KMA'],KACE1.0-G,KACE1.0-GLOMAP,2018,KACE-1-0-G,@korea.kr <- sunghm122,2019-08-13: initially published under CC BY-SA 4.0; 2022-09-28 relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,250 km,MetUM-HadGEM3-GA7.1 (N96; 192 x 144 longitude/latitude; 85 levels; top level 85 km),250 km,none,none,JULES-HadGEM3-GL7.1,250 km,none,none,MOM4p1 (tripolar primarily 1deg; 360 x 200 longitude/latitude; 50 levels; top grid cell 0-10 m),100 km,none,none,CICE-HadGEM3-GSI8 (tripolar primarily 1deg; 360 x 200 longitude/latitude),100 km,
101,"['C4MIP', 'CMIP', 'DynVarMIP', 'PMIP', 'ScenarioMIP']",['Published'],['KIOST'],KIOST-ESM,KIOST Earth System Model v2,2018,KIOST-ESM,@pknu.ac.kr <- yhokim,2019-11-04: initially published under CC BY-SA 4.0; 2022-09-28 relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,GFDL-AM2.0 (cubed sphere (C48); 192 x 96 longitude/latitude; 32 vertical levels; top level 2 hPa),250 km,Simple carbon aerosol model (emission type),250 km,NCAR-CLM4,250 km,NCAR-CLM4,250 km,GFDL-MOM5.0 (tripolar - nominal 1.0 deg; 360 x 200 longitude/latitude; 52 levels; top grid cell 0-2 m; NK mixed layer scheme),100 km,TOPAZ2,100 km,GFDL-SIS,100 km,
102,['RFMIP'],['Published'],['AER'],LBLRTM 12.8,"Line-By-Line Radiative Transfer Model v12.8, aer_v_3.6, MT_CKD_3.2",2017,LBLRTM-12-8,@aer.com <- aer_lblrtm,2019-05-14: initially published under CC BY-NC-SA 4.0; 2022-10-07: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
103,"['CMIP', 'FAFMIP', 'PMIP', 'ScenarioMIP']",['Published'],['UA'],MCM-UA-1-0,Manabe Climate Model v1.0 - University of Arizona,1991,MCM-UA-1-0,@email.arizona.edu <- GEOS-CMIP,2019-07-31: initially published under CC BY-SA 4.0; 2022-06-02: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"Modifies surface albedoes (Haywood et al. 1997, doi: 10.1175/1520-0442(1997)010&lt;1562:GCMCOT&gt;2.0.CO;2)",250 km,"R30L14 (3.75 X 2.5 degree (long-lat) configuration; 96 x 80 longitude/latitude; 14 levels; top level 0.015 sigma, 15 mb)",250 km,none,none,"Standard Manabe bucket hydrology scheme (Manabe 1969, doi: 10.1175/1520-0493(1969)097&lt;0739:CATOC&gt;2.3.CO;2)",250 km,"Specified location - invariant in time, has high albedo and latent heat capacity",250 km,"MOM1.0 (MOM1, 1.875 X 2.5 deg; 192 x 80 longitude/latitude; 18 levels; top grid cell 0-40 m)",250 km,none,none,Thermodynamic ice model (free drift dynamics),250 km,
104,"['AerChemMIP', 'C4MIP', 'CMIP', 'DynVarMIP', 'GeoMIP', 'ScenarioMIP', 'VIACSAB']",['Published'],['MIROC'],MIROC-ES2H,MIROC-ES2H,2018,MIROC-ES2H,@jamstec.go.jp <- miroc-cmip6,2021-01-25: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,SPRINTARS6.0,250 km,CCSR AGCM (T85; 256 x 128 longitude/latitude; 81 levels; top level 0.004 hPa),250 km,CHASER4.0 (T42; 128 x 64 longitude/latitude; 81 levels; top level 0.004 hPa),500 km,MATSIRO6.0+VISIT-e ver.1.0,250 km,none,none,COCO4.9 (tripolar primarily 1deg; 360 x 256 longitude/latitude; 63 levels; top grid cell 0-2 m),100 km,OECO ver.2.0; NPZD-type with C/N/P/Fe/O cycles,100 km,COCO4.9,100 km,
105,"['AerChemMIP', 'CMIP']",['Published'],['MIROC'],MIROC-ES2H-NB,MIROC-ES2H with No BiogenicCycle,2019,MIROC-ES2H-NB,@jamstec.go.jp <- miroc-cmip6,2020-04-28: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,SPRINTARS6.0,250 km,CCSR AGCM (T85; 256 x 128 longitude/latitude; 81 levels; top level 0.004 hPa),250 km,CHASER4.0 (T42; 128 x 64 longitude/latitude; 81 levels; top level 0.004 hPa),500 km,MATSIRO6,250 km,none,none,COCO4.9 (tripolar primarily 1deg; 360 x 256 longitude/latitude; 63 levels; top grid cell 0-2 m),100 km,none,none,COCO4.9,100 km,
106,"['C4MIP', 'CDRMIP', 'CMIP', 'DAMIP', 'DynVarMIP', 'GeoMIP', 'LUMIP', 'OMIP', 'PMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['MIROC'],MIROC-ES2L,MIROC-ES2L,2018,MIROC-ES2L,@jamstec.go.jp <- miroc-cmip6,2019-08-23: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,SPRINTARS6.0,500 km,CCSR AGCM (T42; 128 x 64 longitude/latitude; 40 levels; top level 3 hPa),500 km,none,none,MATSIRO6.0+VISIT-e ver.1.0,500 km,none,none,COCO4.9 (tripolar primarily 1deg; 360 x 256 longitude/latitude; 63 levels; top grid cell 0-2 m),100 km,OECO ver.2.0; NPZD-type with C/N/P/Fe/O cycles,100 km,COCO4.9,100 km,
107,"['AerChemMIP', 'CFMIP', 'CMIP', 'DAMIP', 'DCPP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'HighResMIP', 'LS3MIP', 'OMIP', 'PAMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB']",['Published'],['MIROC'],MIROC6,MIROC6,2017,MIROC6,@jamstec.go.jp <- miroc-cmip6,2018-12-12: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,SPRINTARS6.0,250 km,CCSR AGCM (T85; 256 x 128 longitude/latitude; 81 levels; top level 0.004 hPa),250 km,none,none,MATSIRO6.0,250 km,none,none,COCO4.9 (tripolar primarily 1deg; 360 x 256 longitude/latitude; 63 levels; top grid cell 0-2 m),100 km,none,none,COCO4.9,100 km,
108,"['AerChemMIP', 'CMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['HAMMOZ-Consortium'],MPI-ESM1.2-HAM,MPI-ESM1.2-HAM,2017,MPI-ESM-1-2-HAM,@sympa.ethz.ch <- aerchemmip_echam-ham,2019-06-27: initially published under CC BY-SA 4.0; 2022-07-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,HAM2.3,250 km,ECHAM6.3 (spectral T63; 192 x 96 longitude/latitude; 47 levels; top level 0.01 hPa),250 km,sulfur chemistry (unnamed),250 km,JSBACH 3.20,250 km,none,none,"MPIOM1.63 (bipolar GR1.5, approximately 1.5deg; 256 x 220 longitude/latitude; 40 levels; top grid cell 0-12 m)",250 km,HAMOCC6,250 km,unnamed (thermodynamic (Semtner zero-layer) dynamic (Hibler 79) sea ice model),250 km,
109,"['CMIP', 'CORDEX', 'DCPP', 'DynVarMIP', 'FAFMIP', 'GeoMIP', 'HighResMIP', 'OMIP', 'SIMIP', 'ScenarioMIP', 'VolMIP']",['Published'],"['MPI-M', 'DWD', 'DKRZ']",MPI-ESM1.2-HR,MPI-ESM1.2-HR,2017,MPI-ESM1-2-HR,@dkrz.de <- cmip6-mpi-esm,2017-10-03: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"none, prescribed MACv2-SP",100 km,ECHAM6.3 (spectral T127; 384 x 192 longitude/latitude; 95 levels; top level 0.01 hPa),100 km,none,none,JSBACH3.20,100 km,none/prescribed,none,"MPIOM1.63 (tripolar TP04, approximately 0.4deg; 802 x 404 longitude/latitude; 40 levels; top grid cell 0-12 m)",50 km,HAMOCC6,50 km,unnamed (thermodynamic (Semtner zero-layer) dynamic (Hibler 79) sea ice model),50 km,
110,"['C4MIP', 'CDRMIP', 'CFMIP', 'CMIP', 'DAMIP', 'DCPP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'GeoMIP', 'ISMIP6', 'LS3MIP', 'LUMIP', 'OMIP', 'PMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VolMIP']",['Published'],"['MPI-M', 'AWI', 'DKRZ', 'DWD']",MPI-ESM1.2-LR,MPI-ESM1.2-LR,2017,MPI-ESM1-2-LR,@dkrz.de <- cmip6-mpi-esm,2019-07-10: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"none, prescribed MACv2-SP",250 km,ECHAM6.3 (spectral T63; 192 x 96 longitude/latitude; 47 levels; top level 0.01 hPa),250 km,none,none,JSBACH3.20,250 km,none/prescribed,none,"MPIOM1.63 (bipolar GR1.5, approximately 1.5deg; 256 x 220 longitude/latitude; 40 levels; top grid cell 0-12 m)",250 km,HAMOCC6,250 km,unnamed (thermodynamic (Semtner zero-layer) dynamic (Hibler 79) sea ice model),250 km,
111,['HighResMIP'],['Published'],['MPI-M'],MPI-ESM1.2-XR,MPI-ESM1.2-XR,2017,MPI-ESM1-2-XR,@dkrz.de <- cmip6-mpi-esm,2017-10-03: initially published under CC BY-SA 4.0; 2022-06-16: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,"none, prescribed MACv2-SP",50 km,ECHAM6.3 (spectral T255; 768 x 384 longitude/latitude; 95 levels; top level 0.01 hPa),50 km,none,none,JSBACH3.20,50 km,none/prescribed,none,"MPIOM1.63 (tripolar TP04, approximately 0.4deg; 802 x 404 longitude/latitude; 40 levels; top grid cell 0-12 m)",50 km,HAMOCC6,50 km,unnamed (thermodynamic (Semtner zero-layer) dynamic (Hibler 79) sea ice model),50 km,
112,"['DynVarMIP', 'HighResMIP']",['Published'],['MRI'],MRI-AGCM3-2-H,MRI-AGCM3-2-H,2017,MRI-AGCM3-2-H,@mri-jma.go.jp <- rmizuta,2019-07-11: initially published under CC BY-SA 4.0; 2022-08-07: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,Prescribed from MRI-ESM2.0,250 km,MRI-AGCM3.2H (TL319; 640 x 320 longitude/latitude; 64 levels; top level 0.01 hPa),50 km,none,none,SIB0109,50 km,none,none,none,none,none,none,none,none,
113,"['CMIP', 'DynVarMIP', 'HighResMIP']",['Published'],['MRI'],MRI-AGCM3-2-S,MRI-AGCM3-2-S,2017,MRI-AGCM3-2-S,@mri-jma.go.jp <- rmizuta,2019-07-11: initially published under CC BY-SA 4.0; 2022-08-07: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,Prescribed from MRI-ESM2.0,250 km,MRI-AGCM3.2S (TL959; 1920 x 960 longitude/latitude; 64 levels; top level 0.01 hPa),25 km,none,none,SIB0109,25 km,none,none,none,none,none,none,none,none,
114,"['AerChemMIP', 'C4MIP', 'CFMIP', 'CMIP', 'CORDEX', 'DAMIP', 'DCPP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'GeoMIP', 'LS3MIP', 'OMIP', 'PMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VolMIP']",['Published'],['MRI'],MRI-ESM2.0,MRI-ESM2.0,2017,MRI-ESM2-0,@mri-jma.go.jp <- mdeushi,2019-02-22: initially published under CC BY-SA 4.0; 2022-08-07: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MASINGAR mk2r4 (TL95; 192 x 96 longitude/latitude; 80 levels; top level 0.01 hPa),250 km,MRI-AGCM3.5 (TL159; 320 x 160 longitude/latitude; 80 levels; top level 0.01 hPa),100 km,MRI-CCM2.1 (T42; 128 x 64 longitude/latitude; 80 levels; top level 0.01 hPa),250 km,HAL 1.0,100 km,none,none,MRI.COM4.4 (tripolar primarily 0.5 deg latitude/1 deg longitude with meridional refinement down to 0.3 deg within 10 degrees north and south of the equator; 360 x 364 longitude/latitude; 61 levels; top grid cell 0-2 m),100 km,MRI.COM4.4,100 km,MRI.COM4.4,100 km,
115,"['CMIP', 'DAMIP', 'DCPP', 'GMMIP', 'GeoMIP', 'PMIP', 'ScenarioMIP', 'VolMIP']",['Published'],['NUIST'],NESM v3,NUIST ESM v3,2016,NESM3,@nuist.edu.cn <- esmc,2019-06-25: initially published under CC BY-SA 4.0; 2022-10-05: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,ECHAM v6.3 (T63; 192 x 96 longitude/latitude; 47 levels; top level 1 Pa),250 km,none,none,JSBACH v3.1,2.5 km,none,none,"NEMO v3.4 (NEMO v3.4, tripolar primarily 1deg; 384 x 362 longitude/latitude; 46 levels; top grid cell 0-6 m)",100 km,none,none,CICE4.1,100 km,
